,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,BUILDING CLASS,BUILDING CLASS NO,location,latitude,longitude,zip,co_wrong,co_mv
0,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,390,61, ,A4,189 EAST 7TH STREET, ,10009,1,0,1,987,2183,1860,1,A4,4844809,5/22/18,A,4,0,40.724934600000005,-73.9805148,10009,0,0
1,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,385,2, ,C7,21-23 AVENUE B, ,10009,12,4,16,4186,10588,1900,2,C7,10350000,9/7/18,C,7,0,40.77119318,-73.94737579,10028,1,0
2,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,389,18, ,C1,200 EAST 7TH STREET, ,10009,18,0,18,2271,10650,1910,2,C1,5000000,9/5/18,C,1,0,40.72450395,-73.98035113,10009,0,0
3,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,390,54, ,C3,203 EAST 7TH STREET, ,10009,4,0,4,1950,5446,2001,2,C3,6250000,5/9/18,C,3,0,40.72480505,-73.9800287,10009,0,0
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,390,64, ,C4,187 EAST 7TH STREET, ,10009,8,2,10,1642,5220,1910,2,C4,2400000,5/18/18,C,4,0,40.7249642,-73.98059365,10009,0,0
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,393,47, ,C4,377 EAST 10TH STREET, ,10009,12,0,12,2370,10715,1900,2,C4,954623,6/4/18,C,4,0,40.726454100000005,-73.97840287,10009,0,0
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,33, ,C7,28 AVENUE B, ,10009,16,1,17,1933,8699,1900,2,C7,5000000,3/5/18,C,7,0,40.7224818,-73.98336529999999,10009,0,0
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,2,30,4616,18690,1900,2,C7,7906412,3/5/18,C,7,0,40.7237036,-73.9832297,10009,0,0
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,54, ,C7,207 EAST 4TH STREET, ,10009,8,3,11,2364,7166,1900,2,C7,3000000,5/18/18,C,7,0,40.72395705,-73.98370551,10009,0,0
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,61, ,C7,193 EAST 4TH   STREET, ,10009,11,1,12,2388,8045,1900,2,C7,7675000,11/13/17,C,7,0,40.72418675,-73.98425965,10009,0,0
