,Unnamed: 0,SALE PRICE,latitude,longitude,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,TAX CLASS = 1,TAX CLASS = 2,RESIDENTIAL,One Family Dwellings,Two Family Dwellings,Walk Up Apartments,Elevator Apartments,Condominiums,MIXED_USE,COMMERCIAL_BUILDINGS,INDUSTRIAL_BUILDINGS,VACANT_LOTS,CIVIC_USE,GOVERNMENT_BLDG,Apt Floor_mv,Apt Floor STAN,LAND SQUARE FEET_mv,LAND SQUARE FEET STAN,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019)
0,0,4844809,40.72493460000001,-73.9805148,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0014211539322322188,1,0,0
1,1,10350000,40.77119318,-73.94737579,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.010370507139340226,0,1,0
2,2,5000000,40.72450395,-73.98035113,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0050132044223624725,0,1,0
3,3,6250000,40.72480505,-73.9800287,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004115191799829909,0,0,1
4,4,2400000,40.7249642,-73.98059365,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0032535472897363593,0,1,0
5,5,954623,40.72645410000001,-73.97840287,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.005290161586321114,0,1,0
6,6,5000000,40.7224818,-73.98336529999997,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004067633498948123,0,1,0
7,7,7906412,40.7237036,-73.9832297,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.011573452396938364,0,1,0
8,8,3000000,40.72395705,-73.98370551,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0052733763036569535,0,1,0
9,9,7675000,40.72418675,-73.98425965,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.005340517434313594,0,1,0
10,10,3100000,40.72496985,-73.98151125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004028467839398415,0,1,0
11,11,5850000,40.7275101,-73.98103469,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.005287364039210421,0,1,0
12,12,1423033,40.72878835,-73.97908474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.005564321203169061,0,1,0
13,13,82000000,40.7725826,-73.9466112,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0.0380382480640974,0,1,0
14,14,385000,40.7208628,-73.97844079999999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.011363636363636364,1,0.01509227413629082,0,1,0
15,15,445000,40.72133128,-73.97956367,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
16,16,590000,40.72133128,-73.97956367,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
17,17,449000,40.72136971,-73.97965467,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
18,18,385000,40.72136971,-73.97965467,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
19,19,379000,40.7237836,-73.9788932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
20,20,384000,40.72377929,-73.97895557,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
21,21,350000,40.7234828,-73.97795971,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
22,22,900000,40.723808,-73.97769004,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
23,23,455000,40.72546764,-73.97677707,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.011363636363636364,1,0.01509227413629082,0,1,0
24,24,492500,40.72549857,-73.97685129,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,1,0
25,25,505000,40.72343763,-73.98120418,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
26,26,690000,40.7248583,-73.98096329999998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
27,27,360000,40.7244186,-73.98019767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
28,28,505000,40.7244186,-73.98019767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
29,29,699000,40.7242497,-73.97970071,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
30,30,659000,40.7242497,-73.97970071,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
31,31,990000,40.72408955,-73.97940671,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
32,32,465000,40.7241149,-73.98031434,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
33,33,525000,40.7241149,-73.98031434,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
34,34,1025250,40.7243288,-73.98068166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,1,0.01509227413629082,0,1,0
35,35,580000,40.72450960000001,-73.97936448,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
36,36,1399000,40.72583615,-73.98030678,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
37,37,418000,40.725756,-73.97955505,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,1,0
38,38,380000,40.72570195,-73.97938491,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,1,0.01509227413629082,0,1,0
39,39,690000,40.72560675,-73.97926816,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,1,0.01509227413629082,0,1,0
40,40,1450000,40.72560485,-73.97998766,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
41,41,1265000,40.7256022,-73.97802808,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.06818181818181818,1,0.01509227413629082,0,1,0
42,42,545000,40.723352,-73.988629,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
43,43,405600,40.7286142,-73.97679723,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
44,44,499000,40.72854085,-73.97662645,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
45,45,521000,40.7286142,-73.97679723,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
46,46,450000,40.7221746,-73.9843746,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.045454545454545456,1,0.01509227413629082,0,1,0
47,47,405000,40.7221746,-73.9843746,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
48,48,410000,40.722854,-73.98502227,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
49,49,1350000,40.72376327,-73.98343676,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
50,50,615000,40.72479660000001,-73.98278621,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
51,51,345000,40.72801045,-73.9811838,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
52,52,1075000,40.727886700000006,-73.98095997,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
53,53,825000,40.7274497,-73.97993805,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
54,54,1110000,40.7276218,-73.98126058,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
55,55,440000,40.7290553,-73.97980123,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
56,56,750000,40.72869695,-73.97986237,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
57,57,750000,40.72901885,-73.98075899999998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,1,0
